Date,Close
2/26/2015,58.96
2/27/2015,58.54
3/2/2015,58.58
3/3/2015,58.34
3/4/2015,57.88
3/5/2015,57.98
3/6/2015,56.84
3/9/2015,57.26
3/10/2015,56.58
3/11/2015,56.06
3/12/2015,56.17
3/13/2015,56.2
3/16/2015,57.12
3/17/2015,56.47
3/18/2015,57.65
3/19/2015,58.21
3/20/2015,58.58
3/23/2015,58.73
3/24/2015,58.63
3/25/2015,58.26
3/26/2015,57.6
3/27/2015,57.75
3/30/2015,58.34
3/31/2015,57.48
4/1/2015,56.86
4/2/2015,57.1
4/6/2015,57.18
4/7/2015,57.43
4/8/2015,57.15
4/9/2015,57.43
4/10/2015,57.25
4/13/2015,56.73
4/14/2015,57.76
4/15/2015,58.45
4/16/2015,57.84
4/17/2015,56.88
4/20/2015,57.61
4/21/2015,57.66
4/22/2015,57.69
4/23/2015,57.51
4/24/2015,57.6
4/27/2015,57.1
4/28/2015,59.98
4/29/2015,59.68
4/30/2015,59.56
5/1/2015,59.86
5/4/2015,60.64
5/5/2015,60.49
5/6/2015,60.26
5/7/2015,60.3
5/8/2015,60.74
5/11/2015,60
5/12/2015,59.44
5/13/2015,59.18
5/14/2015,59.78
5/15/2015,60.23
5/18/2015,60.01
5/19/2015,60.52
5/20/2015,60.46
5/21/2015,60.1
5/22/2015,59.38
5/26/2015,58.97
5/27/2015,59.46
5/28/2015,59.7
5/29/2015,60.89
6/1/2015,60.75
6/2/2015,60.24
6/3/2015,60.39
6/4/2015,59.47
6/5/2015,58.99
6/8/2015,58.87
6/9/2015,58.84
6/10/2015,59.61
6/11/2015,58.91
6/12/2015,57.87
6/15/2015,57.12
6/16/2015,57.71
6/17/2015,57.91
6/18/2015,58.59
6/19/2015,58.04
6/22/2015,58.83
6/23/2015,59.03
6/24/2015,58.24
6/25/2015,57.9
6/26/2015,58.49
6/29/2015,57.29
6/30/2015,56.93
7/1/2015,57.6
7/2/2015,57.67
7/6/2015,57.55
7/7/2015,57.99
7/8/2015,57.35
7/9/2015,57.38
7/10/2015,57.95
7/13/2015,57.87
7/14/2015,58.19
7/15/2015,58.22
7/16/2015,58.82
7/17/2015,58.82
7/20/2015,59
7/21/2015,58.67
7/22/2015,58.13
7/23/2015,58.07
7/24/2015,57.41
7/27/2015,56.99
7/28/2015,57.52
7/29/2015,58.54
7/30/2015,58.52
7/31/2015,58.96
8/3/2015,59.05
8/4/2015,58.7
8/5/2015,59.1
8/6/2015,58.43
8/7/2015,57.97
8/10/2015,58.41
8/11/2015,57.76
8/12/2015,58.26
8/13/2015,58.98
8/14/2015,59.18
8/17/2015,59.71
8/18/2015,59.66
8/19/2015,59.66
8/20/2015,56.95
8/21/2015,55.77
8/24/2015,53.99
8/25/2015,51.17
8/26/2015,54.42
8/27/2015,54.95
8/28/2015,55.37
8/31/2015,53.85
9/1/2015,52.53
9/2/2015,52.98
9/3/2015,52.65
9/4/2015,51.59
9/8/2015,52.69
9/9/2015,51.93
9/10/2015,52.72
9/11/2015,52.09
9/14/2015,52.34
9/15/2015,53.55
9/16/2015,53.87
9/17/2015,53.96
9/18/2015,52.13
9/21/2015,50.98
9/22/2015,50.74
9/23/2015,51.03
9/24/2015,50.59
9/25/2015,49.6
9/28/2015,48.42
9/29/2015,48.65
9/30/2015,49.39
10/1/2015,49.37
10/2/2015,50.14
10/5/2015,51.23
10/6/2015,49.8
10/7/2015,50.95
10/8/2015,51.02
10/9/2015,50.95
10/12/2015,50.71
10/13/2015,49.47
10/14/2015,49.54
10/15/2015,50.72
10/16/2015,51.48
10/19/2015,51.4
10/20/2015,50.39
10/21/2015,50.59
10/22/2015,52.01
10/23/2015,52.88
10/26/2015,52.91
10/27/2015,53.47
10/28/2015,55.1
10/29/2015,54.87
10/30/2015,54.66
11/2/2015,55.11
11/3/2015,55.11
11/4/2015,55.53
11/5/2015,55.05
11/6/2015,54.61
11/9/2015,54.24
11/10/2015,54.43
11/11/2015,53.72
11/12/2015,53.03
11/13/2015,53.03
11/16/2015,53.7
11/17/2015,53.71
11/18/2015,54.23
11/19/2015,54.28
11/20/2015,54.1
11/23/2015,54.01
11/24/2015,53.48
11/25/2015,53.72
11/27/2015,53.96
11/30/2015,53.01
12/1/2015,54.57
12/2/2015,53.82
12/3/2015,52.59
12/4/2015,53.64
12/7/2015,53.68
12/8/2015,53.47
12/9/2015,52.82
12/10/2015,53.69
12/11/2015,52.15
12/14/2015,52.2
12/15/2015,52.9
12/16/2015,54.02
12/17/2015,52.66
12/18/2015,51.64
12/21/2015,51.87
12/22/2015,52.1
12/23/2015,52.98
12/24/2015,52.85
12/28/2015,52.84
12/29/2015,53.34
12/30/2015,53.25
12/31/2015,52.82
1/4/2016,52.48
1/5/2016,53.15
1/6/2016,52.42
1/7/2016,51.96
1/8/2016,51.08
1/11/2016,51.25
1/12/2016,51.76
1/13/2016,50.66
1/14/2016,51.8
1/15/2016,51.14
1/19/2016,51.34
1/20/2016,50.55
1/21/2016,50.92
1/22/2016,51.35
1/25/2016,50.92
1/26/2016,51.45
1/27/2016,50.37
1/28/2016,49.2
1/29/2016,50.67
2/1/2016,50.75
2/2/2016,50.41
2/3/2016,50.05
2/4/2016,48.59
2/5/2016,49.38
2/8/2016,48.83
2/9/2016,49.16
2/10/2016,49.53
2/11/2016,48.85
2/12/2016,49.03
2/16/2016,49.78
2/17/2016,50.6
2/18/2016,50.32
2/19/2016,50.12
2/22/2016,50.77
2/23/2016,50.54
2/24/2016,50.56
2/25/2016,51
2/26/2016,50.64
2/29/2016,50.21
3/1/2016,51.75
3/2/2016,52.27
3/3/2016,52.1
3/4/2016,52.08
3/7/2016,52.64
3/8/2016,52.45
3/9/2016,52.36
3/10/2016,53.04
3/11/2016,53.2
3/14/2016,53.08
3/15/2016,52.42
3/16/2016,51.94
3/17/2016,51.53
3/18/2016,52.25
3/21/2016,52.8
3/22/2016,53.03
3/23/2016,53.08
3/24/2016,53.07
3/28/2016,52.83
3/29/2016,53.32
3/30/2016,53.22
3/31/2016,52.91
4/1/2016,53.7
4/4/2016,54.4
4/5/2016,54.24
4/6/2016,55.63
4/7/2016,55.42
4/8/2016,55.36
4/11/2016,55.05
4/12/2016,55.34
4/13/2016,55.96
4/14/2016,56.45
4/15/2016,56.14
4/18/2016,56.51
4/19/2016,56.86
4/20/2016,56.58
4/21/2016,56.6
4/22/2016,56.74
4/25/2016,56.22
4/26/2016,56.04
4/27/2016,56.31
4/28/2016,55.74
4/29/2016,54.84
5/2/2016,55.3
